,richness
729,2.998002528548765
730,2.62156958058251
731,1.95392926940605
732,2.1933067861350746
733,1.8586124608953716
734,1.5366433515495024
735,1.5502357807532068
736,2.5257265143913643
737,2.6856819395643563
738,2.4384421161162213
739,2.2114058638379586
740,1.7984495249732728
741,2.7763975703740003
742,1.928711997550671
743,2.031699926669572
744,2.687390851548659
745,1.4592032564995832
746,1.7717460108747947
747,2.3509469164672927
748,0.9470230440787458
749,2.019568456809403
750,2.0712175160562363
751,2.3226672143380336
752,3.0305171689014965
753,2.470779299456318
754,2.2719205329942236
755,2.6551711346081426
756,3.0018778182684778
757,2.4884066239794005
758,2.522179417510524
759,2.869330810017187
760,1.111765912591156
761,2.2113205441424033
762,4.052081891702668
763,2.201656324763788
764,3.3825180666577364
765,2.09354630392909
766,1.7934970000954689
767,1.8533142437944718
768,4.021211183169766
769,3.11989772591752
770,2.143467315157566
771,1.869212423163654
772,2.479256569817031
773,1.6148631551980484
774,2.1399256045355193
775,3.2637560991985293
776,3.0849133438192418
777,2.144222338341902
778,2.665242141357685
779,1.6824322009496493
780,2.3094555704100044
781,2.3184319366581865
782,1.441875935157813
783,2.2799840828387574
784,2.2965631115718277
785,2.5133515014026027
786,2.0434103462828768
787,2.2109846778800457
788,2.217250254726186
789,1.7193202577919833
790,2.5475728691625297
791,2.1499468579778327
792,1.0856946160987953
793,1.415110869767395
794,1.905043116701163
795,3.8052979331981067
796,1.871772362789258
797,2.584434874128969
798,2.3338106303788515
799,2.012118512353374
800,1.6183373300420532
801,2.5052096298458966
802,2.2476231778973093
803,2.4103377806735007
804,2.2813620149700364
805,2.209697594802553
806,1.4749506590729577
807,1.097874265159288
808,2.9130250818050047
809,2.7403517885735122
810,2.126228559762767
811,2.931194240990678
812,2.6272126483786646
813,2.0426672826081145
814,1.5870376778231328
815,2.4270782567308244
816,1.3043368182666506
817,2.6774069420636626
818,2.2002780162914606
819,2.347352545211092
820,1.918478358568818
821,2.617490565300605
822,2.801797332147906
823,1.6186291996664293
824,1.8504804579719722
825,2.856155633288955
826,2.4448445042965536
827,2.4745922136050638
828,2.062925292347446
829,4.285431018368703
830,1.59612718605349
831,2.4124140227215043
832,2.347430291198834
833,2.6805115310164167
834,3.42158440629077
835,1.4950721970736254
836,3.0713921518020353
837,2.613324346706977
838,2.103578141187405
839,2.672185243049041
840,2.8824956901080134
841,1.6682138501766166
842,1.8335070346740305
843,2.0601757666291443
844,2.4470956481950976
845,2.0084194567559686
846,2.8927767245328084
847,2.6276641863046293
848,2.419699017075865
849,2.178862484581393
850,1.4918560271712735
851,3.473457299035636
852,2.523671311081501
853,2.492279153574198
854,2.3435775361861744
855,2.45239542215207
856,2.520896191808094
857,1.9531264920986438
858,2.62591800244497
859,2.0759895519073717
860,2.051454312875442
861,2.5878675853913764
862,2.0163872405305945
863,3.434374535371923
864,2.556993636942204
865,2.6148765940477476
866,2.5704689076555756
867,2.4792777894924387
868,2.110436613070169
869,2.4276790221921725
870,2.3928941292517134
871,2.848933685938816
872,2.2438589125952912
873,2.507478920897646
874,2.5875997424179205
875,2.0802683225367087
876,1.7320037662783043
877,2.6457245444169004
878,3.9290604230006942
879,2.062353264028353
880,2.364041212425358
881,2.3417105273634
882,2.277478612909712
883,2.678244774228616
884,2.607879189627973
885,2.6889184033923352
886,2.2939023341979627
887,1.4152314302196314
888,2.894319312434063
889,3.1340323935834906
890,2.893394689686483
891,2.055134776788494
892,2.8045568062189186
893,0.9665960283261793
894,0.45257305342385284
895,1.6706707078578829
896,2.263644206633717
897,2.2552701597438265
898,2.385951962970661
899,3.2578171253484687
900,2.241631936638956
901,2.6796996556049373
902,2.573709849366933
903,2.728314800132135
904,1.5455490842903434
905,1.6203568299849427
906,2.520580188167795
907,1.9099328738024102
908,2.8953586546270342
909,2.5503348344489636
910,2.067447146080818
911,2.1231198721408315
912,2.7419013581462557
913,1.8160732562573068
914,2.177470547894009
915,2.208551912051024
916,2.4845437145648805
917,2.8157726258085556
918,2.3612710564214434
919,2.483362767436812
920,2.5245667133142318
921,1.9900958691584993
922,2.9552382921770843
923,2.1894884552845584
924,2.7773398481754614
925,2.197972137262946
926,2.577854428565466
927,2.3247085766049653
928,2.793622530027271
929,2.2281753421507076
930,1.9821519891141595
931,2.553193825286318
932,2.159939714325825
933,2.8282734520020583
934,2.7861213615148572
935,2.33338504629175
936,2.145211557096399
937,2.1789379934206083
938,3.1534309397602738
939,1.7461966702282028
940,3.3660711046418554
941,2.175365900370139
942,1.5216537575520634
943,2.5037525031884393
944,2.938681484160674
